가격,건축년도,주소,등록일,도로명,아파트,전용면적,층
15000,2012,서울특별시 광진구  중곡동 699 ,2024-07-02,용마산로1길,욱현하이브Ⅲ,17.71,3
79500,1999,서울특별시 광진구  중곡동 292 ,2024-07-11,용마산로,에스케이,84.6,16
146500,1996,서울특별시 광진구  구의동 611 ,2024-07-01,광나루로56길,구의현대2단지,84.75,25
114500,1997,서울특별시 광진구  구의동 631-1 ,2024-07-01,광나루로56길,현대프라임,59.82,16
148000,1996,서울특별시 광진구  구의동 611 ,2024-07-01,광나루로56길,구의현대2단지,84.91,6
62000,2020,서울특별시 광진구  구의동 670 ,2024-07-03,구의로16길,광진파크프라이빗,58.63,7
110000,1997,서울특별시 광진구  구의동 631-1 ,2024-07-06,광나루로56길,현대프라임,59.82,7
112000,1999,서울특별시 광진구  광장동 576 ,2024-07-02,아차산로69길,광장현대9단지,59.97,4
109500,1999,서울특별시 광진구  광장동 576 ,2024-07-02,아차산로69길,광장현대9단지,59.97,14
164100,1989,서울특별시 광진구  광장동 218-1 ,2024-07-03,아차산로,극동2,84.55,5
239000,2012,서울특별시 광진구  광장동 582 ,2024-07-03,아차산로,광장힐스테이트,130.17,20
119000,1990,서울특별시 광진구  광장동 484 ,2024-07-03,아차산로70길,현대3,74.92,21
101000,1996,서울특별시 광진구  광장동 566 ,2024-07-03,아차산로,청구,59.95,16
130000,1996,서울특별시 광진구  광장동 566 ,2024-07-03,아차산로,청구,84.86,9
119000,2000,서울특별시 광진구  광장동 577 ,2024-07-05,아차산로,현대파크빌,59.55,2
144000,2000,서울특별시 광진구  광장동 577 ,2024-07-06,아차산로,현대파크빌,84.81,3
194000,2012,서울특별시 광진구  광장동 582 ,2024-07-06,아차산로,광장힐스테이트,84.9,5
139000,1996,서울특별시 광진구  광장동 569 ,2024-07-06,아차산로,현대8(803동),84.95,4
165000,1987,서울특별시 광진구  광장동 561 ,2024-07-06,아차산로70길,삼성광장1,79.53,11
118000,2000,서울특별시 광진구  광장동 577 ,2024-07-08,아차산로,현대파크빌,59.76,2
127800,1996,서울특별시 광진구  광장동 566 ,2024-07-10,아차산로,청구,84.86,9
163000,2012,서울특별시 광진구  광장동 582 ,2024-07-10,아차산로,광장힐스테이트,59.99,9
140500,1996,서울특별시 광진구  광장동 569 ,2024-07-10,아차산로,현대8(803동),84.95,7
161500,1989,서울특별시 광진구  광장동 554-7 ,2024-07-13,아차산로70길,현대5,84.53,8
97500,1997,서울특별시 광진구  자양동 831-1 ,2024-07-01,능동로3길,한강성원,59.46,5
138000,2002,서울특별시 광진구  자양동 789 ,2024-07-01,뚝섬로36길,자양8차현대홈타운,80.47,5
135000,1993,서울특별시 광진구  자양동 87-1 ,2024-07-01,능동로1길,한강우성,84.72,5
95000,1988,서울특별시 광진구  자양동 579 ,2024-07-02,뚝섬로41길,우성1,59.91,8
240000,2007,서울특별시 광진구  자양동 227-7 ,2024-07-02,아차산로,더샵스타시티,139.6,46
138000,1989,서울특별시 광진구  자양동 516 ,2024-07-03,뚝섬로35길,우성3,84.91,9
133000,1999,서울특별시 광진구  자양동 787 ,2024-07-04,자양번영로3길,자양삼성,84.96,17
137000,2017,서울특별시 광진구  자양동 859 ,2024-07-04,아차산로,래미안프리미어팰리스,84.92,11
159000,2002,서울특별시 광진구  자양동 789 ,2024-07-04,뚝섬로36길,자양8차현대홈타운,108.43,5
142000,1998,서울특별시 광진구  자양동 783-1 ,2024-07-05,아차산로36길,자양우성7,84.93,12
84500,1999,서울특별시 광진구  자양동 784-1 ,2024-07-06,뚝섬로31길,대동,59.54,8
89500,1989,서울특별시 광진구  자양동 520-2 ,2024-07-06,뚝섬로,우성2,51.57,11
109500,1988,서울특별시 광진구  자양동 579 ,2024-07-08,뚝섬로,우성1,79.75,5
95500,1999,서울특별시 광진구  자양동 784-1 ,2024-07-09,뚝섬로31길,대동,59.54,8
90000,2021,서울특별시 광진구  자양동 861 ,2024-07-09,능동로,자양호반써밋,40.2751,19
85750,1989,서울특별시 광진구  자양동 520-2 ,2024-07-10,뚝섬로,우성2,64.79,1
103000,1999,서울특별시 광진구  자양동 787 ,2024-07-11,자양번영로3길,자양삼성,59.76,10
233000,1983,서울특별시 광진구  자양동 695 ,2024-07-13,구의강변로,한양,157.87,11
95000,1999,서울특별시 광진구  자양동 784-1 ,2024-07-15,뚝섬로31길,대동,59.54,10
13900,2014,서울특별시 광진구  화양동 113-1 ,2024-07-01,능동로19길,광진코지웰,15.63,8
13000,2014,서울특별시 광진구  화양동 113-1 ,2024-07-01,능동로19길,광진코지웰,15.63,8
40000,2021,서울특별시 광진구  화양동 111-89 ,2024-07-08,광나루로20길,위너스힐(111-89),27.199,7
147000,2008,서울특별시 종로구  사직동 9 ,2024-07-01,사직로8길,광화문스페이스본(101동~105동),94.51,11
45000,2003,서울특별시 종로구  익선동 55 ,2024-07-08,돈화문로11가길,현대뜨레비앙,48.54,5
115000,1995,서울특별시 종로구  명륜2가 4 ,2024-07-01,창경궁로,아남1,84.9,6
71000,1993,서울특별시 종로구  창신동 703 ,2024-07-02,낙산길,창신쌍용2,79.87,15
55800,1993,서울특별시 종로구  창신동 703 ,2024-07-05,낙산길,창신쌍용2,54.7,1
57000,1979,서울특별시 종로구  숭인동 204-11 ,2024-07-01,청계천로,숭인상가,80.85,6
82000,2008,서울특별시 종로구  숭인동 2-1 ,2024-07-03,동망산길,종로센트레빌,59.92,11
82000,2008,서울특별시 종로구  숭인동 2-1 ,2024-07-03,동망산길,종로센트레빌,59.92,11
101000,2009,서울특별시 종로구  숭인동 766 ,2024-07-06,숭인동길,종로청계힐스테이트,84.9478,19
98000,2009,서울특별시 종로구  숭인동 766 ,2024-07-11,숭인동길,종로청계힐스테이트,84.9478,3
120000,2004,서울특별시 종로구  숭인동 76 ,2024-07-12,종로,롯데캐슬천지인,111.73,4
166000,2017,서울특별시 종로구  평동 233 ,2024-07-12,경교장길,경희궁자이(3단지),59.8547,16
197000,2017,서울특별시 종로구  평동 233 ,2024-07-13,경교장길,경희궁자이(3단지),84.8359,2
254000,2017,서울특별시 종로구  홍파동 199 ,2024-07-01,송월길,경희궁자이(2단지),101.8976,6
220000,2017,서울특별시 종로구  홍파동 199 ,2024-07-02,송월길,경희궁자이(2단지),84.8359,10
300000,2017,서울특별시 종로구  홍파동 199 ,2024-07-12,송월길,경희궁자이(2단지),116.9862,9
118500,2008,서울특별시 종로구  무악동 60 ,2024-07-03,통일로18길,인왕산아이파크,84.858,3
137500,2008,서울특별시 종로구  무악동 60 ,2024-07-13,통일로18길,인왕산아이파크,84.858,13
120000,2008,서울특별시 종로구  무악동 60 ,2024-07-13,통일로18길,인왕산아이파크,84.858,3
51400,1981,서울특별시 중구  묵정동 11-67 ,2024-07-01,서애로1길,묵정,52.46,7
92500,1999,서울특별시 중구  신당동 843 ,2024-07-01,청구로1길,삼성,59.98,5
136500,1999,서울특별시 중구  신당동 842 ,2024-07-01,동호로10길,약수하이츠,114.92,10
90000,1999,서울특별시 중구  신당동 842 ,2024-07-02,동호로10길,약수하이츠,57.63,3
150000,2011,서울특별시 중구  신당동 852 ,2024-07-02,청구로,청구e편한세상,84.95,12
105000,2019,서울특별시 중구  신당동 856 ,2024-07-03,난계로,신당KCC스위첸,59.4458,8
120000,2011,서울특별시 중구  신당동 851 ,2024-07-04,퇴계로90길,래미안하이베르,84.85,6
122000,2011,서울특별시 중구  신당동 851 ,2024-07-05,퇴계로90길,래미안하이베르,84.97,10
109000,2011,서울특별시 중구  신당동 851 ,2024-07-05,퇴계로90길,래미안하이베르,59.74,15
103000,2002,서울특별시 중구  신당동 844 ,2024-07-06,다산로,남산타운,59.94,13
108500,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,59.95,7
110000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,84.97,1
118000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,84.85,4
97500,1999,서울특별시 중구  신당동 842 ,2024-07-06,동호로10길,약수하이츠,57.63,12
125000,1999,서울특별시 중구  신당동 842 ,2024-07-06,동호로10길,약수하이츠,84.88,7
112000,2011,서울특별시 중구  신당동 851 ,2024-07-07,퇴계로90길,래미안하이베르,59.74,11
89000,2000,서울특별시 중구  신당동 846 ,2024-07-08,다산로42나길,신당동파라다이스,84.77,11
119000,2004,서울특별시 중구  신당동 849 ,2024-07-08,다산로42가길,삼성홈타운,104.98,12
76000,2002,서울특별시 중구  신당동 333-9 ,2024-07-10,청구로3길,성지,84.37,3
140000,2011,서울특별시 중구  신당동 852 ,2024-07-10,청구로,청구e편한세상,84.95,6
84000,2000,서울특별시 중구  신당동 846 ,2024-07-11,다산로42나길,신당동파라다이스,84.77,10
120000,2019,서울특별시 중구  신당동 856 ,2024-07-18,난계로,신당KCC스위첸,84.9063,1
103500,2008,서울특별시 중구  황학동 2545 ,2024-07-03,청계천로,롯데캐슬,84.92,25
35500,2018,서울특별시 중구  황학동 1200 ,2024-07-08,마장로14길,위너빌(Winnervill),29.87,8
13000,2013,서울특별시 중구  황학동 787 ,2024-07-12,난계로,한양I-Class,16.37,14
34500,2020,서울특별시 중구  정동 37 ,2024-07-02,서소문로,삼정아트테라스정동,13.8874,7
164500,2017,서울특별시 중구  만리동2가 273 ,2024-07-01,만리재로,서울역센트럴자이,84.972,16
152500,2017,서울특별시 중구  만리동2가 273 ,2024-07-06,만리재로,서울역센트럴자이,72.9965,24
164500,2017,서울특별시 중구  만리동2가 273 ,2024-07-06,만리재로,서울역센트럴자이,84.972,20
170000,2017,서울특별시 중구  만리동2가 273 ,2024-07-14,만리재로,서울역센트럴자이,84.9791,10
89000,2001,서울특별시 용산구  산천동 204 ,2024-07-03,새창로8길,한강타운,59.69,5
125000,2018,서울특별시 용산구  효창동 286 ,2024-07-02,백범로,용산케이씨씨스위첸,59.97,5
135000,2018,서울특별시 용산구  효창동 286 ,2024-07-18,백범로,용산케이씨씨스위첸,59.95,9
125000,2001,서울특별시 용산구  도원동 23 ,2024-07-07,새창로,삼성래미안,84.69,2
75000,2021,서울특별시 용산구  한강로1가 216-11 ,2024-07-13,한강대로62길,센트럴파크,27.82,4
250000,2001,서울특별시 용산구  이촌동 418 ,2024-07-02,이촌로,동부센트레빌,100.92,19
380000,1971,서울특별시 용산구  이촌동 300-23 ,2024-07-02,이촌로,한강맨숀,101.95,4
232000,1979,서울특별시 용산구  이촌동 300-301 ,2024-07-02,이촌로,삼익,145.19,3
208000,1994,서울특별시 용산구  이촌동 395 ,2024-07-03,이촌로2가길,대림,84.78,15
144500,1999,서울특별시 용산구  이촌동 411 ,2024-07-03,이촌로,동아그린,84.82,5
189000,2000,서울특별시 용산구  이촌동 415 ,2024-07-05,이촌로,한강(대우),84.98,1
190000,1998,서울특별시 용산구  이촌동 404 ,2024-07-08,이촌로65길,한가람,84.96,2
600000,1971,서울특별시 용산구  이촌동 300-23 ,2024-07-15,이촌로,한강맨숀,167.21,3
170000,2000,서울특별시 용산구  이촌동 415 ,2024-07-16,이촌로,한강(대우),60.0,19
890000,2011,서울특별시 용산구  한남동 810 ,2024-07-01,독서당로,한남더힐,208.478,3
